Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,TradingSymbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
BCD,bcs_fo,USDINR,2112992,OPTCUR,PE,80.5,USDINR202370780.5PE,USDINR202370780.5PE,USDINR 07JUL23 80.5 PE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010307,OPTCUR,CE,80.4,USDINR202370780.4CE,USDINR202370780.4CE,USDINR 07JUL23 80.4 CE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010308,OPTCUR,PE,80.4,USDINR202370780.4PE,USDINR202370780.4PE,USDINR 07JUL23 80.4 PE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010309,OPTCUR,CE,80.3,USDINR202370780.3CE,USDINR202370780.3CE,USDINR 07JUL23 80.3 CE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010310,OPTCUR,PE,80.3,USDINR202370780.3PE,USDINR202370780.3PE,USDINR 07JUL23 80.3 PE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010311,OPTCUR,CE,80.2,USDINR202370780.2CE,USDINR202370780.2CE,USDINR 07JUL23 80.2 CE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010312,OPTCUR,PE,80.2,USDINR202370780.2PE,USDINR202370780.2PE,USDINR 07JUL23 80.2 PE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010313,OPTCUR,CE,80.1,USDINR202370780.1CE,USDINR202370780.1CE,USDINR 07JUL23 80.1 CE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010314,OPTCUR,PE,80.1,USDINR202370780.1PE,USDINR202370780.1PE,USDINR 07JUL23 80.1 PE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,2113015,OPTCUR,CE,80,USDINR202370780.0CE,USDINR202370780.0CE,USDINR 07JUL23 80.0 CE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,2113009,OPTCUR,PE,80,USDINR202370780.0PE,USDINR202370780.0PE,USDINR 07JUL23 80.0 PE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010315,OPTCUR,CE,79.9,USDINR202370779.9CE,USDINR202370779.9CE,USDINR 07JUL23 79.9 CE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010316,OPTCUR,PE,79.9,USDINR202370779.9PE,USDINR202370779.9PE,USDINR 07JUL23 79.9 PE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010317,OPTCUR,CE,79.8,USDINR202370779.8CE,USDINR202370779.8CE,USDINR 07JUL23 79.8 CE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010318,OPTCUR,PE,79.8,USDINR202370779.8PE,USDINR202370779.8PE,USDINR 07JUL23 79.8 PE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010319,OPTCUR,CE,79.7,USDINR202370779.7CE,USDINR202370779.7CE,USDINR 07JUL23 79.7 CE,2023-07-07,1,0.0025
BCD,bcs_fo,USDINR,1010320,OPTCUR,PE,79.7,USDINR202370779.7PE,USDINR202370779.7PE,USDINR 07JUL23 79.7 PE,2023-07-07,1,0.0025
