id,Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size,StPrice1,StPrice2,StPriceCombine
8098,CDS,cde_fo,JPYINR,12383,OPTCUR,CE,55,JPYINR11AUGUST2355CE,JPYINR2381155CE,JPYINR 11AUG23 55 CE,11-08-2023,1,0.0025,55,,55
8099,CDS,cde_fo,JPYINR,12384,OPTCUR,PE,55,JPYINR11AUGUST2355PE,JPYINR2381155PE,JPYINR 11AUG23 55 PE,11-08-2023,1,0.0025,55,,55
8100,CDS,cde_fo,JPYINR,12385,OPTCUR,CE,55.25,JPYINR11AUGUST2355.25CE,JPYINR2381155.25CE,JPYINR 11AUG23 55.25 CE,11-08-2023,1,0.0025,55,25,55.25
8101,CDS,cde_fo,JPYINR,12386,OPTCUR,PE,55.25,JPYINR11AUGUST2355.25PE,JPYINR2381155.25PE,JPYINR 11AUG23 55.25 PE,11-08-2023,1,0.0025,55,25,55.25
8102,CDS,cde_fo,JPYINR,12387,OPTCUR,CE,55.5,JPYINR11AUGUST2355.5CE,JPYINR2381155.5CE,JPYINR 11AUG23 55.5 CE,11-08-2023,1,0.0025,55,5,55.5
8103,CDS,cde_fo,JPYINR,12388,OPTCUR,PE,55.5,JPYINR11AUGUST2355.5PE,JPYINR2381155.5PE,JPYINR 11AUG23 55.5 PE,11-08-2023,1,0.0025,55,5,55.5
8104,CDS,cde_fo,JPYINR,12389,OPTCUR,CE,55.75,JPYINR11AUGUST2355.75CE,JPYINR2381155.75CE,JPYINR 11AUG23 55.75 CE,11-08-2023,1,0.0025,55,75,55.75
8105,CDS,cde_fo,JPYINR,12390,OPTCUR,PE,55.75,JPYINR11AUGUST2355.75PE,JPYINR2381155.75PE,JPYINR 11AUG23 55.75 PE,11-08-2023,1,0.0025,55,75,55.75
8106,CDS,cde_fo,JPYINR,12391,OPTCUR,CE,56,JPYINR11AUGUST2356CE,JPYINR2381156CE,JPYINR 11AUG23 56 CE,11-08-2023,1,0.0025,56,,56
8107,CDS,cde_fo,JPYINR,12392,OPTCUR,PE,56,JPYINR11AUGUST2356PE,JPYINR2381156PE,JPYINR 11AUG23 56 PE,11-08-2023,1,0.0025,56,,56
8108,CDS,cde_fo,JPYINR,12393,OPTCUR,CE,56.25,JPYINR11AUGUST2356.25CE,JPYINR2381156.25CE,JPYINR 11AUG23 56.25 CE,11-08-2023,1,0.0025,56,25,56.25
8109,CDS,cde_fo,JPYINR,12394,OPTCUR,PE,56.25,JPYINR11AUGUST2356.25PE,JPYINR2381156.25PE,JPYINR 11AUG23 56.25 PE,11-08-2023,1,0.0025,56,25,56.25
8110,CDS,cde_fo,JPYINR,12395,OPTCUR,CE,56.5,JPYINR11AUGUST2356.5CE,JPYINR2381156.5CE,JPYINR 11AUG23 56.5 CE,11-08-2023,1,0.0025,56,5,56.5
8111,CDS,cde_fo,JPYINR,12396,OPTCUR,PE,56.5,JPYINR11AUGUST2356.5PE,JPYINR2381156.5PE,JPYINR 11AUG23 56.5 PE,11-08-2023,1,0.0025,56,5,56.5
8112,CDS,cde_fo,JPYINR,12397,OPTCUR,CE,56.75,JPYINR11AUGUST2356.75CE,JPYINR2381156.75CE,JPYINR 11AUG23 56.75 CE,11-08-2023,1,0.0025,56,75,56.75
8113,CDS,cde_fo,JPYINR,12398,OPTCUR,PE,56.75,JPYINR11AUGUST2356.75PE,JPYINR2381156.75PE,JPYINR 11AUG23 56.75 PE,11-08-2023,1,0.0025,56,75,56.75
8114,CDS,cde_fo,JPYINR,12399,OPTCUR,CE,57,JPYINR11AUGUST2357CE,JPYINR2381157CE,JPYINR 11AUG23 57 CE,11-08-2023,1,0.0025,57,,57
8115,CDS,cde_fo,JPYINR,12400,OPTCUR,PE,57,JPYINR11AUGUST2357PE,JPYINR2381157PE,JPYINR 11AUG23 57 PE,11-08-2023,1,0.0025,57,,57
8116,CDS,cde_fo,JPYINR,12401,OPTCUR,CE,57.25,JPYINR11AUGUST2357.25CE,JPYINR2381157.25CE,JPYINR 11AUG23 57.25 CE,11-08-2023,1,0.0025,57,25,57.25
8117,CDS,cde_fo,JPYINR,12402,OPTCUR,PE,57.25,JPYINR11AUGUST2357.25PE,JPYINR2381157.25PE,JPYINR 11AUG23 57.25 PE,11-08-2023,1,0.0025,57,25,57.25
8118,CDS,cde_fo,JPYINR,12403,OPTCUR,CE,57.5,JPYINR11AUGUST2357.5CE,JPYINR2381157.5CE,JPYINR 11AUG23 57.5 CE,11-08-2023,1,0.0025,57,5,57.5
