Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size,FreezeQty
MCX,mcx_fo,SILVER,254911,OPTFUT,CE,79000,SILVER24FEB79000CE,SILVER24FEB79000CE,SILVER 23FEB24 79000 CE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254912,OPTFUT,PE,79000,SILVER24FEB79000PE,SILVER24FEB79000PE,SILVER 23FEB24 79000 PE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254913,OPTFUT,CE,79250,SILVER24FEB79250CE,SILVER24FEB79250CE,SILVER 23FEB24 79250 CE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254914,OPTFUT,PE,79250,SILVER24FEB79250PE,SILVER24FEB79250PE,SILVER 23FEB24 79250 PE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254973,OPTFUT,CE,79500,SILVER24FEB79500CE,SILVER24FEB79500CE,SILVER 23FEB24 79500 CE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254974,OPTFUT,PE,79500,SILVER24FEB79500PE,SILVER24FEB79500PE,SILVER 23FEB24 79500 PE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254975,OPTFUT,CE,79750,SILVER24FEB79750CE,SILVER24FEB79750CE,SILVER 23FEB24 79750 CE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,254976,OPTFUT,PE,79750,SILVER24FEB79750PE,SILVER24FEB79750PE,SILVER 23FEB24 79750 PE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,255099,OPTFUT,CE,80000,SILVER24FEB80000CE,SILVER24FEB80000CE,SILVER 23FEB24 80000 CE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,255100,OPTFUT,PE,80000,SILVER24FEB80000PE,SILVER24FEB80000PE,SILVER 23FEB24 80000 PE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,255155,OPTFUT,CE,80250,SILVER24FEB80250CE,SILVER24FEB80250CE,SILVER 23FEB24 80250 CE,2024-02-23,30,0.5,20
MCX,mcx_fo,SILVER,255156,OPTFUT,PE,80250,SILVER24FEB80250PE,SILVER24FEB80250PE,SILVER 23FEB24 80250 PE,2024-02-23,30,0.5,20
